Action name,Timestamp
NEW EMPLOYEE,11/05/2021 17:50
UPDATE EMPLOYEE,11/05/2021 17:50
DELETE EMPLOYEE,11/05/2021 17:50
NEW EMPLOYEE,11/05/2021 17:51
UPDATE MEDICAL SERVICE,11/05/2021 17:51
DELETE EMPLOYEE,11/05/2021 17:52
NEW PATIENT,11/05/2021 17:58
UPDATE PATIENT,11/05/2021 17:58
DELETE PATIENT,11/05/2021 17:59
NEW APPOINTMENT,11/05/2021 17:59
NEW EMPLOYEE,11/05/2021 17:59
UPDATE EMPLOYEE,11/05/2021 18:00
DELETE EMPLOYEE,11/05/2021 18:01
UPDATE MEDICAL SERVICE,11/05/2021 18:03
NEW PATIENT,22/05/2021 15:53
